player_id,player,draft_year,rookie_season,age,height_in,weight_lbs,position,games,minutes,mpg,usg_pct,pts,reb,ast,stl,blk,tov,fga,fgm,fg_pct,fg3a,fg3m,fg3_pct,fta,ftm,ft_pct,ftr,off_rating,def_rating,net_rating,pace,bpm,vorp
1627739,Kris Dunn,2016,2017,,75.0,205.0,Guard,78,1333.0,17.08974358974359,,293,166,188,78,36,89,313,118,0.377,73,21,0.288,59,36,0.61,0.18849840255591055,,,,,,
1627741,Buddy Hield,2016,2017,,76.0,220.0,Guard,82,1888.1833333333334,23.026626016260163,,866,269,121,38,9,101,767,327,0.426,379,148,0.391,76,64,0.842,0.09908735332464146,,,,,,
1627750,Jamal Murray,2016,2017,,76.0,215.0,Guard,82,1764.6433333333334,21.520040650406504,,811,214,170,51,24,113,730,295,0.404,344,115,0.334,120,106,0.883,0.1643835616438356,,,,,,
1627737,Marquese Chriss,2016,2017,,81.0,240.0,Forward,82,1743.36,21.260487804878046,,753,348,60,67,70,108,632,284,0.449,224,72,0.321,181,113,0.624,0.28639240506329117,,,,,,
1627748,Thon Maker,2016,2017,,84.0,221.0,Forward-Center,57,562.1883333333334,9.86295321637427,,226,114,23,10,26,17,181,83,0.459,74,28,0.378,49,32,0.653,0.27071823204419887,,,,,,
1627734,Domantas Sabonis,2016,2017,,82.0,240.0,Forward-Center,81,1631.4883333333332,20.141831275720165,,479,288,82,39,32,83,481,192,0.399,159,51,0.321,67,44,0.657,0.1392931392931393,,,,,,
1627761,DeAndre' Bembry,2016,2017,,77.0,210.0,Guard-Forward,38,370.74,9.756315789473684,,101,59,28,8,5,16,98,47,0.48,18,1,0.056,16,6,0.375,0.16326530612244897,,,,,,
1627789,Timothé Luwawu-Cabarrot,2016,2017,,79.0,215.0,Guard-Forward,69,1189.91,17.245072463768118,,445,149,75,32,10,73,361,145,0.402,161,50,0.311,123,105,0.854,0.3407202216066482,,,,,,
1627746,Skal Labissière,2016,2017,,82.0,235.0,Forward-Center,33,611.6383333333333,18.53449494949495,,289,162,27,16,13,37,218,117,0.537,8,3,0.375,74,52,0.703,0.3394495412844037,,,,,,
1627826,Ivica Zubac,2016,2017,,84.0,240.0,Center,38,608.515,16.013552631578946,,284,159,30,14,33,30,238,126,0.529,3,0,0.0,49,32,0.653,0.20588235294117646,,,,,,
1627763,Malcolm Brogdon,2016,2017,,76.0,229.0,Guard,75,1982.39,26.431866666666668,,767,213,317,84,12,113,635,290,0.457,193,78,0.404,126,109,0.865,0.1984251968503937,,,,,,
